,Message,Category
711,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence..",ham
2079,85233 FREE>Ringtone!Reply REAL,spam
2641,Pandy joined 4w technologies today.he got job..,ham
4058,Noice. Text me when you're here,ham
3291,My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?,ham
1111,Ok ill tell the company,ham
4634,Oh wow thats gay. Will firmware update help,ham
3248,* You gonna ring this weekend or wot?,ham
2586,I will be outside office take all from there,ham
2260,Ill call you evening ill some ideas.,ham
763,Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,spam
4650,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.",ham
3257,Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar,ham
4447,Merry christmas to u too annie!,ham
3335,"That's fine, have him give me a call if he knows what he wants or has any questions",ham
5060,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674,spam
4598,Full heat pa:-) i have applyed oil pa.,ham
5413,Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx,ham
5479,Really do hope the work doesnt get stressful. Have a gr8 day.,ham
1809,Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...,ham
4885,For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.,ham
4244,Okie...,ham
701,How much r ü willing to pay?,ham
4750,Thanx u darlin!im cool thanx. A few bday drinks 2 nite. 2morrow off! Take care c u soon.xxx,ham
4446,"2 celebrate my bday, y else?",ham
2819,Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...,ham
1698,Hai priya are you right. What doctor said pa. Where are you.,ham
2289,Dont you have message offer,ham
3866,"THATS ALRITE GIRL, U KNOW GAIL IS NEVA WRONG!!TAKE CARE SWEET AND DONT WORRY.C U L8TR HUN!LOVE Yaxxx",ham
2147,So can collect ur laptop?,ham
643,Probably gonna swing by in a wee bit,ham
3016,&lt;#&gt;  mins but i had to stop somewhere first.,ham
1243,Nobody can decide where to eat and dad wants Chinese,ham
1849,I dont want to hear philosophy. Just say what happen,ham
3311,Oh ho. Is this the first time u use these type of words,ham
326,No calls..messages..missed calls,ham
1096,Ryder unsold.now gibbs.,ham
1909,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u,ham
124,I am going to sao mu today. Will be done only at 12,ham
1178,Just nw i came to hme da..,ham
4308,I guess it is useless calling u 4 something important.,ham
3917,Ok. C u then.,ham
2874,I dont understand your message.,ham
1079,Convey my regards to him,ham
106,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,ham
4018,Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.,ham
4260,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,ham
4741,"I keep seeing weird shit and bein all ""woah"" then realising it's actually reasonable and I'm all ""oh""",ham
4532,I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.,ham
4957,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",ham
2202,"A boy was late 2 home. His father: ""POWER OF FRNDSHIP""",ham
1323,Oh just getting even with u.... u?,ham
867,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter",ham
5561,Get me out of this dump heap. My mom decided to come to lowes. BORING.,ham
2626,"FREE RING TONE just text ""POLYS"" to 87131. Then every week get a new tone. 0870737910216yrs only £1.50/wk.",spam
4686,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins",ham
2300,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",spam
2110,Lara said she can loan me  &lt;#&gt; .,ham
2942,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.,ham
3769,Where are you call me.,ham
3028,You still at the game?,ham
2702,"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs.",ham
2207,"URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM",spam
1313,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,ham
1603,Ok pa. Nothing problem:-),ham
5115,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply.",spam
4761,I'm home. Doc gave me pain meds says everything is fine.,ham
1496,Hey gals.. Anyone of u going down to e driving centre tmr?,ham
1181,I'm in chennai velachery:),ham
2169,Thx. All will be well in a few months,ham
727,Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,ham
416,Whatsup there. Dont u want to sleep,ham
5485,Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(,ham
14,I HAVE A DATE ON SUNDAY WITH WILL!!,ham
69,I plane to give on this month end.,ham
753,Dont gimme that lip caveboy,ham
3972,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&,spam
4850,either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.,ham
2627,Unni thank you dear for the recharge..Rakhesh,ham
294,Are you this much buzy,ham
4531,Don't forget though that I love you .... And I walk beside you. Watching over you and keeping your heart warm.,ham
2277,Love you aathi..love u lot..,ham
3699,S:)but he had some luck.2 catches put down:),ham
3151,Yo! Howz u? girls never rang after india. L,ham
345,My sister cleared two round in birla soft yesterday.,ham
3720,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",spam
4817,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...,ham
1850,You got job in wipro:)you will get every thing in life in 2 or 3 years.,ham
2464,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-(",ham
4040,I cant pick the phone right now. Pls send a message,ham
3072,Apart from the one i told you about yesterday?,ham
5377,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,spam
3893,URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,spam
651,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),ham
5360,"Hey, iouri gave me your number, I'm wylie, ryan's friend",ham
1822,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night,ham
2451,K..give back my thanks.,ham
1268,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.,ham
4815,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,ham
2867,Smith waste da.i wanna gayle.,ham
4977,You are gorgeous! keep those pix cumming :) thank you!,ham
2668,Why de. You looking good only:-)..,ham
3341,"Like I made him throw up when we were smoking in our friend's car one time, it was awesome",ham
3392,"I'm in a meeting, call me later at",ham
4278,I'm glad. You are following your dreams.,ham
3235,Yup ü not comin :-(,ham
2837,Nice.nice.how is it working?,ham
4256,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just £5 by replying GET BBDELUXE and take the challenge,spam
3321,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?,ham
4940,Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.,ham
3685,Dad says hurry the hell up,ham
3553,Lol u still feeling sick?,ham
5006,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is!,ham
2609,Hello madam how are you ?,ham
63,"Sorry my roommates took forever, it ok if I come by now?",ham
3053,Please leave this topic..sorry for telling that..,ham
4085,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...,ham
2354,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,spam
2480,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",spam
1380,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam
4036,YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,spam
3732,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING",ham
2088,"alright babe, justthought id sayhey! how u doin?nearly the endof me wk offdam nevamind!We will have 2Hook up sn if uwant m8? loveJen x.",ham
810,Ugh I don't wanna get out of bed. It's so warm.,ham
2029,Kallis is ready for bat in 2nd innings,ham
5147,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,spam
329,"Cool, text me when you're parked",ham
4706,Hey anyway i have to :-),ham
325,No problem. How are you doing?,ham
1780,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",spam
3403,"An Amazing Quote'' - ""Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....""",ham
4840,That's one of the issues but california is okay. No snow so its manageable,ham
2945,We currently have a message awaiting your collection. To collect your message just call 08718723815.,spam
1412,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,ham
1253,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour,ham
3001,Id onluy matters when getting on from offcampus,ham
3831,I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.,ham
4895,Convey my regards to him,ham
1815,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX,ham
4525,I've sent ü my part..,ham
1745,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,spam
4145,That's a shame! Maybe cld meet for few hrs tomo?,ham
115,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",ham
2517,Yes.i'm in office da:),ham
2848,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",spam
5014,"Uncle G, just checking up on you. Do have a rewarding month",ham
3576,And do you have any one that can teach me how to ship cars.,ham
3821,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm",ham
2507,Who u talking about?,ham
213,K:)k:)good:)study well.,ham
3104,"U so lousy, run already come back then half dead... Hee...",ham
3968,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386,spam
3775,Ok... But bag again..,ham
4383,yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for .by the way who is this? dont know number. Joke,ham
5036,How many times i told in the stage all use to laugh. You not listen aha.,ham
1859,"Sir, i am waiting for your call.",ham
160,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam
364,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,ham
3663,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka?",ham
3188,Howz that persons story,ham
4992,"We made it! Eta at taunton is 12:30 as planned, hope that‘s still okday?! Good to see you! :-xx",ham
5567,"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",spam
1799,That one week leave i put know that time. Why.,ham
3991,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,spam
1231,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,ham
766,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub,spam
2954,"URGENT! Your mobile was awarded a £1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011",spam
3180,Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.,ham
3084,K..k:)how about your training process?,ham
350,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,ham
2223,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.,ham
3641,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes,ham
5307,What you did in  leave.,ham
4528,Understand. his loss is my gain :) so do you work? School?,ham
991,26th OF JULY,ham
1872,Dont know supports ass and srt i thnk. I think ps3 can play through usb too,ham
154,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham
4674,I forgot 2 ask ü all smth.. There's a card on da present lei... How? Ü all want 2 write smth or sign on it?,ham
713,08714712388 between 10am-7pm Cost 10p,spam
2936,"Yeah, we got one lined up for us",ham
551,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",ham
5369,Hi mom we might be back later than  &lt;#&gt;,ham
1818,Well i will watch shrek in 3D!!B),ham
3527,"HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON, CALL 2MWEN IM BK FRMCLOUD 9! J X",ham
2442,Back in brum! Thanks for putting us up and keeping us all and happy. See you soon,ham
3897,tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,spam
3706,Ok. Very good. Its all about making that money.,ham
2603,So when you gonna get rimac access,ham
351,"Nah can't help you there, I've never had an iphone",ham
373,I'm going for bath will msg you next  &lt;#&gt;  min..,ham
3978,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs,spam
4839,All boys made fun of me today. Ok i have no problem. I just sent one message just for fun,ham
5045,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor...",ham
2646,"Sorry, I'll call later",ham
5418,So how are you really. What are you up to. How's the masters. And so on.,ham
2704,Yup no more already... Thanx 4 printing n handing it up.,ham
2338,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,ham
884,Dude we should go sup again,ham
577,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",ham
1100,Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.,ham
1781,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,spam
1617,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",ham
1277,Can do lor...,ham
2112,Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.,ham
3181,There the size of elephant tablets & u shove um up ur ass!!,ham
2011,Dunno lei... I thk mum lazy to go out... I neva ask her yet...,ham
1933,Jus finished avatar nigro,ham
3581,"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning",ham
2474,Ok lor wat time ü finish?,ham
1550,Dude sux for snake. He got old and raiden got buff,ham
2754,"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with",ham
1964,Yes :)it completely in out of form:)clark also utter waste.,ham
2017,"Princess, is your kitty shaved or natural?",ham
458,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl,ham
2305,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,ham
282,"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve..",ham
3850,U in town alone?,ham
2190,Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?,ham
1040,They just talking thats it de. They wont any other.,ham
619,I come n pick ü up... Come out immediately aft ur lesson...,ham
1699,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",spam
1505,Oh my God. I'm almost home,ham
563,Geeeee ... I love you so much I can barely stand it,ham
4155,Haf u eaten? Wat time u wan me 2 come?,ham
276,Thanx...,ham
5544,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready",ham
3898,No. Thank you. You've been wonderful,ham
2035,Is avatar supposed to have subtoitles,ham
1403,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,ham
3753,Why are u up so early?,ham
5324,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",ham
1705,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,ham
133,First answer my question.,ham
2118,Wish u many many returns of the day.. Happy birthday vikky..,ham
93,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam
4105,Do u hav any frnd by name ashwini in ur college?,ham
2685,Yupz... I've oredi booked slots 4 my weekends liao...,ham
1133,Good morning princess! How are you?,ham
4688,Eatin my lunch...,ham
3353,Call him and say you not coming today ok and tell them not to fool me like this ok,ham
4820,Got smaller capacity one? Quite ex...,ham
2244,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,ham
4800,I dont know why she.s not getting your messages,ham
1811,"Now, whats your house # again ? And do you have any beer there ?",ham
3964,If you ask her or she say any please message.,ham
164,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,spam
2264,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,spam
452,Thanks for this hope you had a good day today,ham
3662,Well then you have a great weekend!,ham
3730,I'm at home. Please call,ham
3497,Happy birthday... May u find ur prince charming soon n dun work too hard...,ham
2132,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:),ham
4106,Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...,ham
320,"Coffee cake, i guess...",ham
2230,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons,ham
2972,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence..",ham
464,"Sorry, I'll call later ok bye",ham
4592,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50,spam
4937,K..k.:)congratulation ..,ham
2430,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,spam
2407,"One of best dialogue in cute reltnship..!! ""Wen i Die, Dont Come Near My Body..!! Bcoz My Hands May Not Come 2 Wipe Ur Tears Off That Time..!Gud ni8",ham
3396,Then i buy.,ham
4912,Love that holiday Monday feeling even if I have to go to the dentists in an hour,ham
926,"K, wait chikku..il send aftr  &lt;#&gt; mins",ham
3090,What Today-sunday..sunday is holiday..so no work..,ham
3512,I'm serious. You are in the money base,ham
140,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,ham
3183,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",ham
3102,Pathaya enketa maraikara pa',ham
2675,I am 6 ft. We will be a good combination!,ham
1776,Did u see what I posted on your Facebook?,ham
4182,"Ok da, i already planned. I wil pick you.",ham
1504,Ill be there on  &lt;#&gt;  ok.,ham
1605,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",ham
1019,Nope watching tv at home... Not going out. V bored...,ham
2642,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",spam
1912,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.,ham
2916,Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...,ham
3399,It only does simple arithmetic not percentages.,ham
1452,Ya! when are ü taking ure practical lessons? I start in june..,ham
1548,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,ham
4458,Aight should I just plan to come up later tonight?,ham
5059,"Geeeee ... Your internet is really bad today, eh ?",ham
585,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,ham
3122,Small problem in auction:)punj now asking tiwary,ham
2201,Haha... can... But i'm having dinner with my cousin...,ham
1868,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,ham
3046,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?",ham
1002,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam
4675,I'm leaving my house now.,ham
934,What time you think you'll have it? Need to know when I should be near campus,ham
4213,Missed call alert. These numbers called but left no message. 07008009200,spam
4533,Ok both our days. So what are you making for dinner tonite? Am I invited?,ham
740,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,ham
1654,I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now?,ham
3835,Watching tv lor. Nice one then i like lor.,ham
4519,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?,ham
881,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,spam
1068,Meeting u is my work. . . Tel me when shall i do my work tomorrow,ham
200,"Found it, ENC  &lt;#&gt; , where you at?",ham
531,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04,spam
1130,"So check your errors and if you had difficulties, do correction.",ham
2902,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,spam
962,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,spam
4398,When did dad get back.,ham
579,"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321.",spam
403,The hair cream has not been shipped.,ham
4697,A guy who gets used but is too dumb to realize it.,ham
3680,Stupid.its not possible,ham
1846,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.,ham
4959,Why didn't u call on your lunch?,ham
826,Hmm .. Bits and pieces lol ... *sighs* ...,ham
1321,"Just sent again. Do you scream and moan in bed, princess?",ham
3042,Aight what time you want me to come up?,ham
3644,"Sorry, left phone upstairs. OK, might be hectic but would be all my birds with one fell swoop. It's a date.",ham
911,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you,ham
5252,You do your studies alone without anyones help. If you cant no need to study.,ham
3894,Have you heard from this week?,ham
4558,I am in hospital da. . I will return home in evening,ham
2450,Then she dun believe wat?,ham
388,Mm that time you dont like fun,ham
2283,Whom you waited for yesterday,ham
1398,Then we wait 4 u lor... No need 2 feel bad lar...,ham
66,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",ham
3012,"Hm good morning, headache anyone? :-)",ham
1347,Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired,ham
811,S:)s.nervous  &lt;#&gt; :),ham
5518,"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it.",ham
269,The evo. I just had to download flash. Jealous?,ham
3689,I'll meet you in the lobby,ham
2809,Yes princess! I want to catch you with my big strong hands...,ham
360,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted",ham
5144,I'm in office now da:)where are you?,ham
1685,Do you want bold 2 or bb torch,ham
271,"Come to mu, we're sorting out our narcotics situation",ham
1877,Watching tv now. I got new job :),ham
5323,Aah bless! How's your arm?,ham
511,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",ham
912,I am sorry it hurt you.,ham
1981,"Sorry, I'll call later",ham
4151,I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?,ham
2208,Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.,ham
572,Do you know where my lab goggles went,ham
4349,You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days,ham
3728,"Aldrine, rakhesh ex RTM here.pls call.urgent.",ham
718,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,ham
1148,Ok... Help me ask if she's working tmr a not?,ham
2645,My friends use to call the same.,ham
595,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",ham
311,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,ham
2353,Thats cool. How was your day?,ham
5010,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar",ham
465,Ok i am on the way to railway,ham
3496,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",spam
4271,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today,ham
951,"Awesome, lemme know whenever you're around",ham
1462,Kinda. First one gets in at twelve! Aah. Speak tomo,ham
4416,"Yeah I should be able to, I'll text you when I'm ready to meet up",ham
2568,I dont want to hear anything,ham
3716,"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye.",ham
2733,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.,ham
726,Got it! It looks scrumptious... daddy wants to eat you all night long!,ham
1668,So now my dad is gonna call after he gets out of work and ask all these crazy questions.,ham
5107,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,ham
2006,Can't take any major roles in community outreach. You rock mel,ham
